question,summary_answer,difficulty,text,id
mean win rate in model evaluation,"The chapter introduces the concept of mean win rate as an alternative to average scoring, focusing on a model's performance relative to others across different scenarios, which can offer a clearer assessment of capability.",intermediate,"treating all benchmark scores equally, i.e., treating an 80% score on
TruthfulQA the same as an 80% score on GSM-8K, even if an 80% score
on TruthfulQA might be much harder to achieve than an 80% score on
GSM-8K. This also means giving all benchmarks the same weight, even if,
for some tasks, truthfulness might weigh a lot more than being able to solve
grade school math problems.
HELM authors, on the other hand, decided to shun averaging in favor of
mean win rate, which they defined as “the fraction of times a model obtains
a better score than another model, averaged across scenarios”.
While public leaderboards are useful to get a sense of models’ broad
performance, it’s important to understand what capabilities a leaderboard is
trying to capture. A model that ranks high on a public leaderboard will
likely, but far from always, perform well for your application. If you want a
model for code generation, a public leaderboard that doesn’t include a code
generation benchmark might not help you as much.
Custom leaderboards with public benchmarks
When evaluating models for a specific application, you’re basically creating
a private leaderboard that ranks models based on your evaluation criteria.
The first step is to gather a list of benchmarks that evaluate the capabilities
important to your application. If you want to build a coding agent, look at
code-related benchmarks. If you build a writing assistant, look into creative",b73ca037
costs of hosting AI models,"The chapter outlines the costs associated with self-hosting models, highlighting the time, talent, and engineering effort required, which can be alleviated by using model hosting services.",beginner,"Using model APIs Self-hosting models
evaluation, and
interpretability
Cost
API cost Talent, time, engineering
effort to optimize, host,
maintain (can be
mitigated by using model
hosting services)
Finetuning
Can only finetune Can finetune, quantize,
models that model and optimize models (if
providers let you their licenses allow), but
it can be hard to do so
Control,
Rate limits Easier to inspect changes
access, and
Risk of losing access in open source models
transparency
to the model You can freeze a model
Lack of transparency to maintain its access, but
in model changes and you’re responsible for
versioning",8aeabb11
best practices for evaluating AI models,The chapter outlines an iterative evaluation workflow that helps teams determine whether to use model APIs or self-hosted models based on performance needs.,beginner,"Figure 4-5. An overview of the evaluation workflow to evaluate models for your application.
These four steps are iterative—you might want to change the decision from
a previous step with newer information from the current step. For example,
you might initially want to host open source models. However, after public
and private evaluation, you might realize that open source models can’t
achieve the level of performance you want and have to switch to
commercial APIs.
Chapter 10 discusses monitoring and collecting user feedback. The rest of
this chapter will discuss the first three steps. First, let’s discuss a question
that most teams will visit more than once: to use model APIs or to host
models themselves. We’ll then continue to how to navigate the dizzying
number of public benchmarks and why you can’t trust them. This will set
the stage for the last section in the chapter. Because public benchmarks",91f34b96
what are essential functionalities for AI models?,"The chapter outlines key functionalities like scalability, function calling, structured outputs, and output guardrails as crucial for AI models to function effectively in real-world applications.",beginner,"Functionality
Many functionalities are needed around a model to make it work for a use
case. Here are some examples of these functionalities:
Scalability: making sure the inference service can support your
application’s traffic while maintaining the desirable latency and cost.
Function calling: giving the model the ability to use external tools, which
is essential for RAG and agentic use cases, as discussed in Chapter 6.
Structured outputs, such as asking models to generate outputs in JSON
format.
Output guardrails: mitigating risks in the generated responses, such as
making sure the responses aren’t racist or sexist.
Many of these functionalities are challenging and time-consuming to
implement, which makes many companies turn to API providers that
provide the functionalities they want out of the box.
The downside of using a model API is that you’re restricted to the
functionalities that the API provides. A functionality that many use cases
need is logprobs, which are very useful for classification tasks, evaluation,
and interpretability. However, commercial model providers might be
hesitant to expose logprobs for fear of others using logprobs to replicate
their models. In fact, many model APIs don’t expose logprobs or expose
only limited logprobs.",f5e81205
how to rank LLMs based on role performance,"The chapter provides a methodology for assessing LLMs by creating and comparing their outputs against defined role characteristics and quality criteria, using Python for organization.",beginner,"System Instruction:
You are a role−playing performance comparison
assistant. You should rank the models based on
the role characteristics and text quality of
their responses. The rankings are then output
using Python dictionaries and lists.
User Prompt:
The models below are to play the role of
‘‘{role_name}’’. The role description of
‘‘{role_name}’’ is
‘‘{role_description_and_catchphrases}’’. I
need to rank the following models based on the
two criteria below:
1. Which one has more pronounced role speaking
style, and speaks more in line with the role
description. The more distinctive the speaking
style, the better.
2. Which one’s output contains more knowledge
and memories related to the role; the richer,
the better. (If the question contains
reference answers, then the role−specific",d3c487f4
best practices for collecting user feedback on AI performance,"The text suggests considering user feedback as an essential evaluation method, correlating it with other metrics, and utilizing it actively during production for continuous improvement.",expert,"Use automatic metrics as much as possible, but don’t be afraid to fall back
on human evaluation, even in production. Having human experts manually
evaluate a model’s quality is a long-standing practice in AI. Given the
challenges of evaluating open-ended responses, many teams are looking at
human evaluation as the North Star metric to guide their application
development. Each day, you can use human experts to evaluate a subset of
your application’s outputs that day to detect any changes in the application’s
performance or unusual patterns in usage. For example, LinkedIn developed
a process to manually evaluate up to 500 daily conservations with their AI
systems.
Consider evaluation methods to be used not just during experimentation but
also during production. During experimentation, you might have reference
data to compare your application’s outputs to, whereas, in production,
reference data might not be immediately available. However, in production,
you have actual users. Think about what kinds of feedback you want from
users, how user feedback correlates to other evaluation metrics, and how to
use user feedback to improve your application. How to collect user
feedback is discussed in Chapter 10.
Annotate evaluation data
Curate a set of annotated examples to evaluate your application. You need
annotated data to evaluate each of your system’s components and each
criterion, for both turn-based and task-based evaluation. Use actual",d1eb205d
NLG evaluation metrics examples,"It details various metrics from the NLG field, emphasizing fluency, coherence, and specific metrics tailored for tasks like translation and summarization.",intermediate,"Generation Capability
AI was used to generate open-ended outputs long before generative AI
became a thing. For decades, the brightest minds in NLP (natural language
processing) have been working on how to evaluate the quality of open-
ended outputs. The subfield that studies open-ended text generation is
called NLG (natural language generation). NLG tasks in the early 2010s
included translation, summarization, and paraphrasing.
Metrics used to evaluate the quality of generated texts back then included
fluency and coherence. Fluency measures whether the text is grammatically
correct and natural-sounding (does this sound like something written by a
fluent speaker?). Coherence measures how well-structured the whole text is
(does it follow a logical structure?). Each task might also have its own
metrics. For example, a metric a translation task might use is faithfulness:
how faithful is the generated translation to the original sentence? A metric
that a summarization task might use is relevance: does the summary focus
on the most important aspects of the source document? (Li et al., 2022).
Some early NLG metrics, including faithfulness and relevance, have been
repurposed, with significant modifications, to evaluate the outputs of
foundation models. As generative models improved, many issues of early
NLG systems went away, and the metrics used to track these issues became
less important. In the 2010s, generated texts didn’t sound natural. They
were typically full of grammatical errors and awkward sentences. Fluency",cabaa12d
open source vs commercial AI models,"The text outlines the differences between open source models and commercial models, noting that many developers release weaker models openly while keeping stronger models behind paywalls.",beginner,"After developing a model, a developer can choose to open source it, make it
accessible via an API, or both. Many model developers are also model
service providers. Cohere and Mistral open source some models and
provide APIs for some. OpenAI is typically known for their commercial
models, but they’ve also open sourced models (GPT-2, CLIP). Typically,
model providers open source weaker models and keep their best models
behind paywalls, either via APIs or to power their products.
Model APIs can be available through model providers (such as OpenAI and
Anthropic), cloud service providers (such as Azure and GCP [Google Cloud
Platform]), or third-party API providers (such as Databricks Mosaic,
Anyscale, etc.). The same model can be available through different APIs
with different features, constraints, and pricings. For example, GPT-4 is
available through both OpenAI and Azure APIs. There might be slight
differences in the performance of the same model provided through
different APIs, as different APIs might use different techniques to optimize
this model, so make sure to run thorough tests when you switch between
model APIs.
Commercial models are only accessible via APIs licensed by the model
13
developers. Open source models can be supported by any API provider,
allowing you to pick and choose the provider that works best for you. For
commercial model providers, models are their competitive advantages. For
API providers that don’t have their own models, APIs are their competitive",a5d55c7e
evaluating AI with multiple-choice questions,"It describes how non-coding abilities can be assessed using close-ended tasks, particularly multiple-choice questions, which simplify verification and consistency in evaluation.",expert,"efficiency, which is measured by comparing the runtime of the generated
query with the runtime of the ground truth SQL query.
You might also care about code readability. If the generated code runs but
nobody can understand it, it will be challenging to maintain the code or
incorporate it into a system. There’s no obvious way to evaluate code
readability exactly, so you might have to rely on subjective evaluation, such
as using AI judges.
Non-coding domain capabilities are often evaluated with close-ended tasks,
such as multiple-choice questions. Close-ended outputs are easier to verify
and reproduce. For example, if you want to evaluate a model’s ability to do
math, an open-ended approach is to ask the model to generate the solution
to a given problem. A close-ended approach is to give the model several
options and let it pick the correct one. If the expected answer is option C
and the model outputs option A, the model is wrong.
This is the approach that most public benchmarks follow. In April 2024,
75% of the tasks in Eleuther’s lm-evaluation-harness are multiple-choice,
including UC Berkeley’s MMLU (2020), Microsoft’s AGIEval (2023), and
the AI2 Reasoning Challenge (ARC-C) (2018). In their paper, AGIEval’s
authors explained that they excluded open-ended tasks on purpose to avoid
inconsistent assessment.
Here’s an example of a multiple-choice question in the MMLU benchmark:",9a42b3d7
how to set metrics for chatbot evaluation,"The chapter suggests determining a usefulness threshold for evaluation metrics, like a factual consistency score, to assess a chatbot's effectiveness before engaging users.",beginner,"It’s also helpful to determine the usefulness threshold: what scores must an
application achieve for it to be useful? For example, you might determine
that your chatbot’s factual consistency score must be at least 50% for it to
be useful. Anything below this makes it unusable even for general customer
requests.
Before developing AI evaluation metrics, it’s crucial to first understand the
business metrics you’re targeting. Many applications focus on stickiness
metrics, such as daily, weekly, or monthly active users (DAU, WAU,
MAU). Others prioritize engagement metrics, like the number of
conversations a user initiates per month or the duration of each visit—the
longer a user stays on the app, the less likely they are to leave. Choosing
which metrics to prioritize can feel like balancing profits with social
responsibility. While an emphasis on stickiness and engagement metrics can
lead to higher revenues, it may also cause a product to prioritize addictive
features or extreme content, which can be detrimental to users.
Step 3. Define Evaluation Methods and Data
Now that you’ve developed your criteria and scoring rubrics, let’s define
what methods and data you want to use to evaluate your application.",f196fff2
how to detect data contamination in AI models,"The chapter explains that data contamination can be detected using heuristics like n-gram overlapping and perplexity, which help identify if a model has seen evaluation samples during training.",beginner,"to evaluate it on contaminated benchmarks, but this might still be the right
thing to do.
Handling data contamination
The prevalence of data contamination undermines the trustworthiness of
evaluation benchmarks. Just because a model can achieve high performance
on bar exams doesn’t mean it’s good at giving legal advice. It could just be
that this model has been trained on many bar exam questions.
To deal with data contamination, you first need to detect the contamination,
and then decontaminate your data. You can detect contamination using
heuristics like n-gram overlapping and perplexity:
N-gram overlapping
For example, if a sequence of 13 tokens in an evaluation sample is
also in the training data, the model has likely seen this evaluation
sample during training. This evaluation sample is considered dirty.
Perplexity
Recall that perplexity measures how difficult it is for a model to
predict a given text. If a model’s perplexity on evaluation data is
unusually low, meaning the model can easily predict the text, it’s
possible that the model has seen this data before during training.",4098d776
