question,summary_answer,difficulty,text,id
Metrics for evaluating instruction-following in AI systems.,"The text indirectly raises the challenge of quantifying instruction-following capabilities, suggesting a need for metrics that specifically assess adherence to input restrictions and output structures.",expert,"Let’s say you ask the model to detect the sentiment in a tweet and output
NEGATIVE, POSITIVE, or NEUTRAL. The model seems to understand
the sentiment of each tweet, but it generates unexpected outputs such as
HAPPY and ANGRY. This means that the model has the domain-specific
capability to do sentiment analysis on tweets, but its instruction-following
capability is poor.
Instruction-following capability is essential for applications that require
structured outputs, such as in JSON format or matching a regular
6
expression (regex). For example, if you ask a model to classify an input as
A, B, or C, but the model outputs “That’s correct”, this output isn’t very
helpful and will likely break downstream applications that expect only A, B,
or C.
But instruction-following capability goes beyond generating structured
outputs. If you ask a model to use only words of at most four characters, the
model’s outputs don’t have to be structured, but they should still follow the
instruction to contain only words of at most four characters. Ello, a startup
that helps kids read better, wants to build a system that automatically
generates stories for a kid using only the words that they can understand.
The model they use needs the ability to follow the instruction to work with
a limited pool of words.
Instruction-following capability isn’t straightforward to define or measure,
as it can be easily conflated with domain-specific capability or generation",443f120e
how to evaluate AI model outputs,The chapter explains that evaluating AI model outputs requires clear instructions and benchmarks like IFEval and INFOBench to measure instruction-following capabilities effectively.,beginner,"capability. Imagine you ask a model to write a lục bát poem, which is a
Vietnamese verse form. If the model fails to do so, it can either be because
the model doesn’t know how to write lục bát, or because it doesn’t
understand what it’s supposed to do.
WARNING
How well a model performs depends on the quality of its instructions, which makes it hard to
evaluate AI models. When a model performs poorly, it can either be because the model is bad or the
instruction is bad.
Instruction-following criteria
Different benchmarks have different notions of what instruction-following
capability encapsulates. The two benchmarks discussed here, IFEval and
INFOBench, measure models’ capability to follow a wide range of
instructions, which are to give you ideas on how to evaluate a model’s
ability to follow your instructions: what criteria to use, what instructions to
include in the evaluation set, and what evaluation methods are appropriate.
The Google benchmark IFEval, Instruction-Following Evaluation, focuses
on whether the model can produce outputs following an expected format.
Zhou et al. (2023) identified 25 types of instructions that can be
automatically verified, such as keyword inclusion, length constraints,
number of bullet points, and JSON format. If you ask a model to write a
sentence that uses the word “ephemeral”, you can write a program to check",2eb69acb
what is IFEval and how does it work,"IFEval (Instruction-Following Evaluation) is a benchmark that assesses how well AI models can produce outputs according to specific formats, emphasizing the importance of good instructions for accurate evaluation.",intermediate,"capability. Imagine you ask a model to write a lục bát poem, which is a
Vietnamese verse form. If the model fails to do so, it can either be because
the model doesn’t know how to write lục bát, or because it doesn’t
understand what it’s supposed to do.
WARNING
How well a model performs depends on the quality of its instructions, which makes it hard to
evaluate AI models. When a model performs poorly, it can either be because the model is bad or the
instruction is bad.
Instruction-following criteria
Different benchmarks have different notions of what instruction-following
capability encapsulates. The two benchmarks discussed here, IFEval and
INFOBench, measure models’ capability to follow a wide range of
instructions, which are to give you ideas on how to evaluate a model’s
ability to follow your instructions: what criteria to use, what instructions to
include in the evaluation set, and what evaluation methods are appropriate.
The Google benchmark IFEval, Instruction-Following Evaluation, focuses
on whether the model can produce outputs following an expected format.
Zhou et al. (2023) identified 25 types of instructions that can be
automatically verified, such as keyword inclusion, length constraints,
number of bullet points, and JSON format. If you ask a model to write a
sentence that uses the word “ephemeral”, you can write a program to check",5739d20d
benchmarks for measuring instruction-following in AI,"The chapter details various benchmarks like IFEval and INFOBench, which provide criteria and methodologies for effectively assessing how well AI models follow diverse instructions, focusing on automatic verification of instruction types.",expert,"capability. Imagine you ask a model to write a lục bát poem, which is a
Vietnamese verse form. If the model fails to do so, it can either be because
the model doesn’t know how to write lục bát, or because it doesn’t
understand what it’s supposed to do.
WARNING
How well a model performs depends on the quality of its instructions, which makes it hard to
evaluate AI models. When a model performs poorly, it can either be because the model is bad or the
instruction is bad.
Instruction-following criteria
Different benchmarks have different notions of what instruction-following
capability encapsulates. The two benchmarks discussed here, IFEval and
INFOBench, measure models’ capability to follow a wide range of
instructions, which are to give you ideas on how to evaluate a model’s
ability to follow your instructions: what criteria to use, what instructions to
include in the evaluation set, and what evaluation methods are appropriate.
The Google benchmark IFEval, Instruction-Following Evaluation, focuses
on whether the model can produce outputs following an expected format.
Zhou et al. (2023) identified 25 types of instructions that can be
automatically verified, such as keyword inclusion, length constraints,
number of bullet points, and JSON format. If you ask a model to write a
sentence that uses the word “ephemeral”, you can write a program to check",07632c48
how to evaluate AI instruction-following,"The chapter discusses various automatically verifiable instructions that can objectively assess how well models follow specific commands, as detailed in Zhou et al.'s IFEval paper.",beginner,"Table 4-2. Automatically verifiable instructions proposed by Zhou et al. to evaluate models’
instruction-following capability. Table taken from the IFEval paper, which is available under the
license CC BY 4.0.
Instruction
Instruction Description
group
Keywords Include keywords Include keywords {keyword1},
{keyword2} in your response.
Keywords Keyword In your response, the word
frequency {word} should appear {N} times.
Keywords Forbidden words Do not include keywords
{forbidden words} in the
response.
Keywords Letter frequency In your response, the letter
{letter} should appear {N} times.
Language Response Your ENTIRE response should be
language in {language}; no other language
is allowed.
Length Number Your response should contain {N}
constraints paragraphs paragraphs. You separate
paragraphs using the markdown
divider: ***",29ef2ec4
Zhou IFEval paper instruction examples,"It highlights specific instruction types like keyword inclusion and frequency checks that help in assessing an AI's understanding, summarizing key points from Table 4-2 of Zhou et al.'s work.",intermediate,"Table 4-2. Automatically verifiable instructions proposed by Zhou et al. to evaluate models’
instruction-following capability. Table taken from the IFEval paper, which is available under the
license CC BY 4.0.
Instruction
Instruction Description
group
Keywords Include keywords Include keywords {keyword1},
{keyword2} in your response.
Keywords Keyword In your response, the word
frequency {word} should appear {N} times.
Keywords Forbidden words Do not include keywords
{forbidden words} in the
response.
Keywords Letter frequency In your response, the letter
{letter} should appear {N} times.
Language Response Your ENTIRE response should be
language in {language}; no other language
is allowed.
Length Number Your response should contain {N}
constraints paragraphs paragraphs. You separate
paragraphs using the markdown
divider: ***",933ba1ea
AI response length requirements,"The chapter specifies how to set constraints on response length, such as defining minimum and maximum numbers of words, sentences, and paragraphs.",beginner,"Instruction
Instruction Description
group
Length Number words Answer with at least/around/at
constraints most {N} words.
Length Number sentences Answer with at least/around/at
constraints most {N} sentences.
Length Number There should be {N} paragraphs.
constraints paragraphs + first Paragraphs and only paragraphs
word in i-th are separated from each other by
paragraph two line breaks. The {i}-th
paragraph must start with word
{first_word}.
Detectable Postscript At the end of your response,
content please explicitly add a postscript
starting with {postscript marker}.
Detectable Number The response must contain at least
content placeholder {N} placeholders represented by
square brackets, such as [address].
Detectable Number bullets Your answer must contain exactly
format {N} bullet points. Use the",f2dbd741
How to format AI responses with placeholders,"It discusses using placeholders within the responses and the need for specific formatting like bullet points, ensuring outputs meet the given criteria.",intermediate,"Instruction
Instruction Description
group
Length Number words Answer with at least/around/at
constraints most {N} words.
Length Number sentences Answer with at least/around/at
constraints most {N} sentences.
Length Number There should be {N} paragraphs.
constraints paragraphs + first Paragraphs and only paragraphs
word in i-th are separated from each other by
paragraph two line breaks. The {i}-th
paragraph must start with word
{first_word}.
Detectable Postscript At the end of your response,
content please explicitly add a postscript
starting with {postscript marker}.
Detectable Number The response must contain at least
content placeholder {N} placeholders represented by
square brackets, such as [address].
Detectable Number bullets Your answer must contain exactly
format {N} bullet points. Use the",e1998b8a
guidelines for formatting AI responses,"The chapter outlines essential formatting rules for AI responses, emphasizing the use of markdown for bullet points and JSON for structured outputs.",beginner,"Instruction
Instruction Description
group
markdown bullet points such as: *
This is a point.
Detectable Title Your answer must contain a title,
format wrapped in double angular
brackets, such as <<poem of
joy>>.
Detectable Choose from Answer with one of the following
format options: {options}.
Detectable Minimum number Highlight at least {N} sections in
format highlighted your answer with markdown, i.e.
section *highlighted section*
Detectable Multiple sections Your response must have {N}
format sections. Mark the beginning of
each section with
{section_splitter} X.
Detectable JSON format Entire output should be wrapped
format in JSON format.",d8ad561a
how does INFOBench evaluate instruction following,"INFOBench evaluates instruction following by assessing a model's adherence to expected formats, content constraints, linguistic guidelines, and style rules, using a set of criteria that can be verified through yes/no questions.",beginner,"INFOBench, created by Qin et al. (2024), takes a much broader view of
what instruction-following means. On top of evaluating a model’s ability to
follow an expected format like IFEval does, INFOBench also evaluates the
model’s ability to follow content constraints (such as “discuss only climate
change”), linguistic guidelines (such as “use Victorian English”), and style
rules (such as “use a respectful tone”). However, the verification of these
expanded instruction types can’t be easily automated. If you instruct a
model to “use language appropriate to a young audience”, how do you
automatically verify if the output is indeed appropriate for a young
audience?
For verification, INFOBench authors constructed a list of criteria for each
instruction, each framed as a yes/no question. For example, the output to the
instruction “Make a questionnaire to help hotel guests write hotel reviews”
can be verified using three yes/no questions:
1. Is the generated text a questionnaire?
2. Is the generated questionnaire designed for hotel guests?
3. Is the generated questionnaire helpful for hotel guests to write hotel
reviews?
A model is considered to successfully follow an instruction if its output
meets all the criteria for this instruction. Each of these yes/no questions can
be answered by a human or AI evaluator. If the instruction has three criteria
and the evaluator determines that a model’s output meets two of them, the",3ecec8e4
challenges in automating instruction verification,"The chapter highlights that automating the verification of expanded instruction types, like maintaining language appropriateness for different audiences, is complex and not easily achievable.",intermediate,"INFOBench, created by Qin et al. (2024), takes a much broader view of
what instruction-following means. On top of evaluating a model’s ability to
follow an expected format like IFEval does, INFOBench also evaluates the
model’s ability to follow content constraints (such as “discuss only climate
change”), linguistic guidelines (such as “use Victorian English”), and style
rules (such as “use a respectful tone”). However, the verification of these
expanded instruction types can’t be easily automated. If you instruct a
model to “use language appropriate to a young audience”, how do you
automatically verify if the output is indeed appropriate for a young
audience?
For verification, INFOBench authors constructed a list of criteria for each
instruction, each framed as a yes/no question. For example, the output to the
instruction “Make a questionnaire to help hotel guests write hotel reviews”
can be verified using three yes/no questions:
1. Is the generated text a questionnaire?
2. Is the generated questionnaire designed for hotel guests?
3. Is the generated questionnaire helpful for hotel guests to write hotel
reviews?
A model is considered to successfully follow an instruction if its output
meets all the criteria for this instruction. Each of these yes/no questions can
be answered by a human or AI evaluator. If the instruction has three criteria
and the evaluator determines that a model’s output meets two of them, the",dd8b2397
INFOBench criteria for evaluating AI models,"INFOBench uses specific criteria framed as yes/no questions to evaluate if a model's output meets the defined instruction, allowing for both human and AI evaluators to determine success.",expert,"INFOBench, created by Qin et al. (2024), takes a much broader view of
what instruction-following means. On top of evaluating a model’s ability to
follow an expected format like IFEval does, INFOBench also evaluates the
model’s ability to follow content constraints (such as “discuss only climate
change”), linguistic guidelines (such as “use Victorian English”), and style
rules (such as “use a respectful tone”). However, the verification of these
expanded instruction types can’t be easily automated. If you instruct a
model to “use language appropriate to a young audience”, how do you
automatically verify if the output is indeed appropriate for a young
audience?
For verification, INFOBench authors constructed a list of criteria for each
instruction, each framed as a yes/no question. For example, the output to the
instruction “Make a questionnaire to help hotel guests write hotel reviews”
can be verified using three yes/no questions:
1. Is the generated text a questionnaire?
2. Is the generated questionnaire designed for hotel guests?
3. Is the generated questionnaire helpful for hotel guests to write hotel
reviews?
A model is considered to successfully follow an instruction if its output
meets all the criteria for this instruction. Each of these yes/no questions can
be answered by a human or AI evaluator. If the instruction has three criteria
and the evaluator determines that a model’s output meets two of them, the",d6459e4e
how to evaluate AI models using benchmarks,"The chapter explains how to use benchmarks like INFOBench and IFEval to assess AI models' performance, emphasizing the importance of curating personal benchmarks based on specific instructions.",beginner,"model’s score for this instruction is 2/3. The final score for a model on this
benchmark is the number of criteria a model gets right divided by the total
number of criteria for all instructions.
In their experiment, the INFOBench authors found that GPT-4 is a
reasonably reliable and cost-effective evaluator. GPT-4 isn’t as accurate as
human experts, but it’s more accurate than annotators recruited through
Amazon Mechanical Turk. They concluded that their benchmark can be
automatically verified using AI judges.
Benchmarks like IFEval and INFOBench are helpful to give you a sense of
how good different models are at following instructions. While they both
tried to include instructions that are representative of real-world
instructions, the sets of instructions they evaluate are different, and they
7
undoubtedly miss many commonly used instructions. A model that
performs well on these benchmarks might not necessarily perform well on
your instructions.
TIP
You should curate your own benchmark to evaluate your model’s capability to follow your
instructions using your own criteria. If you need a model to output YAML, include YAML
instructions in your benchmark. If you want a model to not say things like “As a language model”,
evaluate the model on this instruction.",9a1dd192
difference between AI judges and human annotators,"It highlights that while GPT-4 serves as a reliable evaluator, it doesn't reach human expert accuracy, and is even more effective than crowdsourced annotators from platforms like Mechanical Turk.",intermediate,"model’s score for this instruction is 2/3. The final score for a model on this
benchmark is the number of criteria a model gets right divided by the total
number of criteria for all instructions.
In their experiment, the INFOBench authors found that GPT-4 is a
reasonably reliable and cost-effective evaluator. GPT-4 isn’t as accurate as
human experts, but it’s more accurate than annotators recruited through
Amazon Mechanical Turk. They concluded that their benchmark can be
automatically verified using AI judges.
Benchmarks like IFEval and INFOBench are helpful to give you a sense of
how good different models are at following instructions. While they both
tried to include instructions that are representative of real-world
instructions, the sets of instructions they evaluate are different, and they
7
undoubtedly miss many commonly used instructions. A model that
performs well on these benchmarks might not necessarily perform well on
your instructions.
TIP
You should curate your own benchmark to evaluate your model’s capability to follow your
instructions using your own criteria. If you need a model to output YAML, include YAML
instructions in your benchmark. If you want a model to not say things like “As a language model”,
evaluate the model on this instruction.",e6db6189
creating custom benchmarks for AI evaluation,"The text advises AI engineers to develop tailored benchmarks, including relevant instructions based on the model's specific usage, to accurately assess its capabilities.",expert,"model’s score for this instruction is 2/3. The final score for a model on this
benchmark is the number of criteria a model gets right divided by the total
number of criteria for all instructions.
In their experiment, the INFOBench authors found that GPT-4 is a
reasonably reliable and cost-effective evaluator. GPT-4 isn’t as accurate as
human experts, but it’s more accurate than annotators recruited through
Amazon Mechanical Turk. They concluded that their benchmark can be
automatically verified using AI judges.
Benchmarks like IFEval and INFOBench are helpful to give you a sense of
how good different models are at following instructions. While they both
tried to include instructions that are representative of real-world
instructions, the sets of instructions they evaluate are different, and they
7
undoubtedly miss many commonly used instructions. A model that
performs well on these benchmarks might not necessarily perform well on
your instructions.
TIP
You should curate your own benchmark to evaluate your model’s capability to follow your
instructions using your own criteria. If you need a model to output YAML, include YAML
instructions in your benchmark. If you want a model to not say things like “As a language model”,
evaluate the model on this instruction.",ab1c3e78
roleplaying in AI applications,"The chapter explains that roleplaying is commonly used for AI models to assume fictional characters for user interaction, primarily in gaming and storytelling, and highlights its effectiveness based on research data.",beginner,"Roleplaying
One of the most common types of real-world instructions is roleplaying—
asking the model to assume a fictional character or a persona. Roleplaying
can serve two purposes:
1. Roleplaying a character for users to interact with, usually for
entertainment, such as in gaming or interactive storytelling
2. Roleplaying as a prompt engineering technique to improve the quality of
a model’s outputs, as discussed in Chapter 5
For either purpose, roleplaying is very common. LMSYS’s analysis of one
million conversations from their Vicuna demo and Chatbot Arena (Zheng et
al., 2023) shows that roleplaying is their eighth most common use case, as
shown in Figure 4-4. Roleplaying is especially important for AI-powered
NPCs (non-playable characters) in gaming, AI companions, and writing
assistants.
Figure 4-4. Top 10 most common instruction types in LMSYS’s one-million-conversations dataset.",ae48d18c
how roleplaying improves AI outputs,"Roleplaying is presented as a prompt engineering technique aimed at enhancing the quality of a model's outputs, particularly in interactive and creative scenarios.",intermediate,"Roleplaying
One of the most common types of real-world instructions is roleplaying—
asking the model to assume a fictional character or a persona. Roleplaying
can serve two purposes:
1. Roleplaying a character for users to interact with, usually for
entertainment, such as in gaming or interactive storytelling
2. Roleplaying as a prompt engineering technique to improve the quality of
a model’s outputs, as discussed in Chapter 5
For either purpose, roleplaying is very common. LMSYS’s analysis of one
million conversations from their Vicuna demo and Chatbot Arena (Zheng et
al., 2023) shows that roleplaying is their eighth most common use case, as
shown in Figure 4-4. Roleplaying is especially important for AI-powered
NPCs (non-playable characters) in gaming, AI companions, and writing
assistants.
Figure 4-4. Top 10 most common instruction types in LMSYS’s one-million-conversations dataset.",303ee45f
how to evaluate AI roleplaying,"The chapter explains that evaluating AI roleplaying involves benchmarks like RoleLLM and CharacterEval, which assess a model's ability to stay in character based on similarity scores and human judgments.",beginner,"Roleplaying capability evaluation is hard to automate. Benchmarks to
evaluate roleplaying capability include RoleLLM (Wang et al., 2023) and
CharacterEval (Tu et al., 2024). CharacterEval used human annotators and
trained a reward model to evaluate each roleplaying aspect on a five-point
scale. RoleLLM evaluates a model’s ability to emulate a persona using both
carefully crafted similarity scores (how similar the generated outputs are to
the expected outputs) and AI judges.
If AI in your application is supposed to assume a certain role, make sure to
evaluate whether your model stays in character. Depending on the role, you
might be able to create heuristics to evaluate the model’s outputs. For
example, if the role is someone who doesn’t talk a lot, a heuristic would be
the average of the model’s outputs. Other than that, the easiest automatic
evaluation approach is AI as a judge. You should evaluate the roleplaying
AI on both style and knowledge. For example, if a model is supposed to
talk like Jackie Chan, its outputs should capture Jackie Chan’s style and are
8
generated based on Jackie Chan’s knowledge.
AI judges for different roles will need different prompts. To give you a
sense of what an AI judge’s prompt looks like, here is the beginning of the
prompt used by the RoleLLM AI judge to rank models based on their ability
to play a certain role. For the full prompt, please check out Wang et al.
(2023).",d8b3e7dd
what is CharacterEval and RoleLLM,"CharacterEval and RoleLLM are two benchmarks highlighted in the chapter, where CharacterEval uses human annotators and a reward model for grading, while RoleLLM employs similarity scores to assess persona emulation.",intermediate,"Roleplaying capability evaluation is hard to automate. Benchmarks to
evaluate roleplaying capability include RoleLLM (Wang et al., 2023) and
CharacterEval (Tu et al., 2024). CharacterEval used human annotators and
trained a reward model to evaluate each roleplaying aspect on a five-point
scale. RoleLLM evaluates a model’s ability to emulate a persona using both
carefully crafted similarity scores (how similar the generated outputs are to
the expected outputs) and AI judges.
If AI in your application is supposed to assume a certain role, make sure to
evaluate whether your model stays in character. Depending on the role, you
might be able to create heuristics to evaluate the model’s outputs. For
example, if the role is someone who doesn’t talk a lot, a heuristic would be
the average of the model’s outputs. Other than that, the easiest automatic
evaluation approach is AI as a judge. You should evaluate the roleplaying
AI on both style and knowledge. For example, if a model is supposed to
talk like Jackie Chan, its outputs should capture Jackie Chan’s style and are
8
generated based on Jackie Chan’s knowledge.
AI judges for different roles will need different prompts. To give you a
sense of what an AI judge’s prompt looks like, here is the beginning of the
prompt used by the RoleLLM AI judge to rank models based on their ability
to play a certain role. For the full prompt, please check out Wang et al.
(2023).",59affdb3
automated evaluation techniques for roleplaying AI,"The text describes how roleplaying capability evaluation is challenging to automate, but mentions heuristics and AI judges as methods to evaluate outputs based on role-specific criteria.",expert,"Roleplaying capability evaluation is hard to automate. Benchmarks to
evaluate roleplaying capability include RoleLLM (Wang et al., 2023) and
CharacterEval (Tu et al., 2024). CharacterEval used human annotators and
trained a reward model to evaluate each roleplaying aspect on a five-point
scale. RoleLLM evaluates a model’s ability to emulate a persona using both
carefully crafted similarity scores (how similar the generated outputs are to
the expected outputs) and AI judges.
If AI in your application is supposed to assume a certain role, make sure to
evaluate whether your model stays in character. Depending on the role, you
might be able to create heuristics to evaluate the model’s outputs. For
example, if the role is someone who doesn’t talk a lot, a heuristic would be
the average of the model’s outputs. Other than that, the easiest automatic
evaluation approach is AI as a judge. You should evaluate the roleplaying
AI on both style and knowledge. For example, if a model is supposed to
talk like Jackie Chan, its outputs should capture Jackie Chan’s style and are
8
generated based on Jackie Chan’s knowledge.
AI judges for different roles will need different prompts. To give you a
sense of what an AI judge’s prompt looks like, here is the beginning of the
prompt used by the RoleLLM AI judge to rank models based on their ability
to play a certain role. For the full prompt, please check out Wang et al.
(2023).",57573e59
how to rank LLMs based on role performance,"The chapter provides a methodology for assessing LLMs by creating and comparing their outputs against defined role characteristics and quality criteria, using Python for organization.",beginner,"System Instruction:
You are a role−playing performance comparison
assistant. You should rank the models based on
the role characteristics and text quality of
their responses. The rankings are then output
using Python dictionaries and lists.
User Prompt:
The models below are to play the role of
‘‘{role_name}’’. The role description of
‘‘{role_name}’’ is
‘‘{role_description_and_catchphrases}’’. I
need to rank the following models based on the
two criteria below:
1. Which one has more pronounced role speaking
style, and speaks more in line with the role
description. The more distinctive the speaking
style, the better.
2. Which one’s output contains more knowledge
and memories related to the role; the richer,
the better. (If the question contains
reference answers, then the role−specific",d3c487f4
how to evaluate AI model cost and latency,"The chapter emphasizes the importance of balancing model quality, latency, and cost when evaluating AI models, suggesting that compromises may be necessary based on specific needs.",beginner,"knowledge and memories are based on the
reference answer. )
Cost and Latency
A model that generates high-quality outputs but is too slow and expensive
to run will not be useful. When evaluating models, it’s important to balance
model quality, latency, and cost. Many companies opt for lower-quality
models if they provide better cost and latency. Cost and latency
optimization are discussed in detail in Chapter 9, so this section will be
quick.
Optimizing for multiple objectives is an active field of study called Pareto
optimization. When optimizing for multiple objectives, it’s important to be
clear about what objectives you can and can’t compromise on. For example,
if latency is something you can’t compromise on, you start with latency
expectations for different models, filter out all the models that don’t meet
your latency requirements, and then pick the best among the rest.
There are multiple metrics for latency for foundation models, including but
not limited to time to first token, time per token, time between tokens, time
per query, etc. It’s important to understand what latency metrics matter to
you.",1318f314
what is Pareto optimization in AI evaluation,"The section introduces Pareto optimization as a method to balance multiple evaluation objectives, explaining the necessity of prioritizing certain metrics, such as latency, to filter and select models effectively.",intermediate,"knowledge and memories are based on the
reference answer. )
Cost and Latency
A model that generates high-quality outputs but is too slow and expensive
to run will not be useful. When evaluating models, it’s important to balance
model quality, latency, and cost. Many companies opt for lower-quality
models if they provide better cost and latency. Cost and latency
optimization are discussed in detail in Chapter 9, so this section will be
quick.
Optimizing for multiple objectives is an active field of study called Pareto
optimization. When optimizing for multiple objectives, it’s important to be
clear about what objectives you can and can’t compromise on. For example,
if latency is something you can’t compromise on, you start with latency
expectations for different models, filter out all the models that don’t meet
your latency requirements, and then pick the best among the rest.
There are multiple metrics for latency for foundation models, including but
not limited to time to first token, time per token, time between tokens, time
per query, etc. It’s important to understand what latency metrics matter to
you.",312fcbd9
what affects latency in language models,"Latency in language models is influenced by the underlying model, the prompt used, and the number of tokens generated, with longer generation times leading to higher latency.",beginner,"Latency depends not only on the underlying model but also on each prompt
and sampling variables. Autoregressive language models typically generate
outputs token by token. The more tokens it has to generate, the higher the
total latency. You can control the total latency observed by users by careful
prompting, such as instructing the model to be concise, setting a stopping
condition for generation (discussed in Chapter 2), or other optimization
techniques (discussed in Chapter 9).
TIP
When evaluating models based on latency, it’s important to differentiate between the must-have and
the nice-to-have. If you ask users if they want lower latency, nobody will ever say no. But high
latency is often an annoyance, not a deal breaker.
If you use model APIs, they typically charge by tokens. The more input and
output tokens you use, the more expensive it is. Many applications then try
to reduce the input and output token count to manage cost.
If you host your own models, your cost, outside engineering cost, is
compute. To make the most out of the machines they have, many people
choose the largest models that can fit their machines. For example, GPUs
usually come with 16 GB, 24 GB, 48 GB, and 80 GB of memory.
Therefore, many popular models are those that max out these memory
configurations. It’s not a coincidence that many models today have 7 billion
or 65 billion parameters.",198736b8
how to reduce latency when using AI models,"You can manage latency by optimizing prompts for conciseness, setting stopping conditions for generation, and employing other optimization techniques discussed in previous chapters.",intermediate,"Latency depends not only on the underlying model but also on each prompt
and sampling variables. Autoregressive language models typically generate
outputs token by token. The more tokens it has to generate, the higher the
total latency. You can control the total latency observed by users by careful
prompting, such as instructing the model to be concise, setting a stopping
condition for generation (discussed in Chapter 2), or other optimization
techniques (discussed in Chapter 9).
TIP
When evaluating models based on latency, it’s important to differentiate between the must-have and
the nice-to-have. If you ask users if they want lower latency, nobody will ever say no. But high
latency is often an annoyance, not a deal breaker.
If you use model APIs, they typically charge by tokens. The more input and
output tokens you use, the more expensive it is. Many applications then try
to reduce the input and output token count to manage cost.
If you host your own models, your cost, outside engineering cost, is
compute. To make the most out of the machines they have, many people
choose the largest models that can fit their machines. For example, GPUs
usually come with 16 GB, 24 GB, 48 GB, and 80 GB of memory.
Therefore, many popular models are those that max out these memory
configurations. It’s not a coincidence that many models today have 7 billion
or 65 billion parameters.",b9617461
evaluating latency in large language models,"When assessing latency in large language models, it's crucial to distinguish between essential and optional latency improvements, and to consider cost implications related to token usage in model APIs.",expert,"Latency depends not only on the underlying model but also on each prompt
and sampling variables. Autoregressive language models typically generate
outputs token by token. The more tokens it has to generate, the higher the
total latency. You can control the total latency observed by users by careful
prompting, such as instructing the model to be concise, setting a stopping
condition for generation (discussed in Chapter 2), or other optimization
techniques (discussed in Chapter 9).
TIP
When evaluating models based on latency, it’s important to differentiate between the must-have and
the nice-to-have. If you ask users if they want lower latency, nobody will ever say no. But high
latency is often an annoyance, not a deal breaker.
If you use model APIs, they typically charge by tokens. The more input and
output tokens you use, the more expensive it is. Many applications then try
to reduce the input and output token count to manage cost.
If you host your own models, your cost, outside engineering cost, is
compute. To make the most out of the machines they have, many people
choose the largest models that can fit their machines. For example, GPUs
usually come with 16 GB, 24 GB, 48 GB, and 80 GB of memory.
Therefore, many popular models are those that max out these memory
configurations. It’s not a coincidence that many models today have 7 billion
or 65 billion parameters.",ffed96f0
cost of model APIs vs hosting models,"The article outlines that using model APIs maintains a consistent cost per token as usage increases, whereas hosting your own models can lead to lower costs as you scale up, emphasizing the need for companies to reevaluate their approach based on application scale.",intermediate,"If you use model APIs, your cost per token usually doesn’t change much as
you scale. However, if you host your own models, your cost per token can
get much cheaper as you scale. If you’ve already invested in a cluster that
can serve a maximum of 1 billion tokens a day, the compute cost remains
9
the same whether you serve 1 million tokens or 1 billion tokens a day.
Therefore, at different scales, companies need to reevaluate whether it
makes more sense to use model APIs or to host their own models.
Table 4-3 shows criteria you might use to evaluate models for your
application. The row scale is especially important when evaluating model
APIs, because you need a model API service that can support your scale.",45dec20c
criteria for selecting AI models,"The document outlines various criteria and metrics, such as cost per output token and latency benchmarks, to evaluate and select appropriate AI models for a given application.",beginner,"Table 4-3. An example of criteria used to select models for a fictional application.
Hard
Criteria Metric Benchmark Ideal
requirement
Cost Cost per X < $30.00 / < $15
output token 1M tokens 1M to
Scale TPM (tokens X > 1M TPM > 1M
per minute)
Latency Time to first Internal user < 200ms < 100
token (P90) prompt dataset
Latency Time per total Internal user < 1m < 30s
query (P90) prompt dataset
Overall model Elo score Chatbot > 1200 > 125
quality Arena’s
ranking
Code pass@1 HumanEval > 90% > 95%
generation
capability",a1cb41f8
how to evaluate AI models for applications,"The chapter emphasizes the importance of defining specific criteria for your application to effectively evaluate and select AI models, ensuring that the chosen model aligns with your operational needs.",beginner,"Hard
Criteria Metric Benchmark Ideal
requirement
Factual Internal GPT Internal > 0.8 > 0.9
consistency metric hallucination
dataset
Now that you have your criteria, let’s move on to the next step and use them
to select the best model for your application.
Model Selection
At the end of the day, you don’t really care about which model is the best.
You care about which model is the best for your applications. Once you’ve
defined the criteria for your application, you should evaluate models against
these criteria.
During the application development process, as you progress through
different adaptation techniques, you’ll have to do model selection over and
over again. For example, prompt engineering might start with the strongest
model overall to evaluate feasibility and then work backward to see if
smaller models would work. If you decide to do finetuning, you might start
with a small model to test your code and move toward the biggest model
that fits your hardware constraints (e.g., one GPU).",f5c91319
best criteria for model selection in AI,"It outlines the essential criteria metrics for model evaluation, stressing the importance of selecting models based on how well they meet your defined application requirements rather than just overall performance.",intermediate,"Hard
Criteria Metric Benchmark Ideal
requirement
Factual Internal GPT Internal > 0.8 > 0.9
consistency metric hallucination
dataset
Now that you have your criteria, let’s move on to the next step and use them
to select the best model for your application.
Model Selection
At the end of the day, you don’t really care about which model is the best.
You care about which model is the best for your applications. Once you’ve
defined the criteria for your application, you should evaluate models against
these criteria.
During the application development process, as you progress through
different adaptation techniques, you’ll have to do model selection over and
over again. For example, prompt engineering might start with the strongest
model overall to evaluate feasibility and then work backward to see if
smaller models would work. If you decide to do finetuning, you might start
with a small model to test your code and move toward the biggest model
that fits your hardware constraints (e.g., one GPU).",a3a86d13
